date,oil_price_usd_bbl,gold_price_inr_10g,cpi_index,cpi_inflation_yoy_pct,house_price_index,oil_return_1m_pct,oil_return_12m_pct,gold_return_1m_pct,gold_return_12m_pct,inflation_change_1m,hpi_growth_12m_pct
2010-01-01,71.45999908447266,16050.981650158312,,,,,,,,,
2010-02-01,77.58999633789062,16563.372599148497,,,,8.57822184712278,,3.1922717261665623,,,
2010-03-01,82.69999694824219,16035.455347589781,,,,6.585901342356593,,-3.187256993698584,,,
2010-04-01,87.44000244140625,16788.93464401309,,,90.626706474878,5.73156670867907,,4.698833179916906,,,
2010-05-01,74.0199966430664,18067.165857180495,,,90.626706474878,-15.347673174337595,,7.6135337963401994,,,
2010-06-01,75.01000213623047,18580.302861988144,,,90.626706474878,1.3374838395872723,,2.8401632489786,,,
2010-07-01,78.18000030517578,17613.339759361093,,,99.717031597059,4.226100624804774,,-5.20423757249554,,,
2010-08-01,,,,,99.717031597059,0.0,,0.0,,,
2010-09-01,82.30999755859375,18790.691073526174,,,99.717031597059,5.282677458808549,,6.684429700729222,,,
2010-10-01,83.1500015258789,19381.23471476445,,,100.879902268232,1.0205369848142576,,3.1427457294015193,,,
2010-11-01,85.91999816894531,20394.182731150126,,,100.879902268232,3.3313248252969663,,5.22643697005547,,,
2010-12-01,94.75,20473.43204332375,,,100.879902268232,10.277004212328045,,0.3885878302570145,,,
2011-01-01,101.01000213623047,19656.557593285466,,,108.776359659831,6.606862412908154,41.351810006080235,-3.9899243483442426,22.463273721900933,,
2011-02-01,111.80000305175781,20502.79704083521,,,108.776359659831,10.682111362570868,44.09074407593563,4.305125368639384,23.783951113248712,,
2011-03-01,117.36000061035156,20637.349123409316,,,108.776359659831,4.973164049038314,41.91052592638105,0.6562620812473607,28.6982419648671,,
2011-04-01,125.88999938964844,22161.76643405544,,,122.091899379462,7.268233414225533,43.9730053461602,7.386691486054042,32.00221993810843,,34.719559088585264
2011-05-01,,,,,122.091899379462,0.0,70.07566211696228,0.0,22.66321463611081,,34.719559088585264
2011-06-01,112.4800033569336,21619.10968872333,,,122.091899379462,-10.652153544944342,49.95333975947829,-2.4486168417433785,16.354990816387716,,34.719559088585264
2011-07-01,116.73999786376953,23039.701598850912,,,131.417743002657,3.7873349748378526,49.32207394228028,6.571000982841468,30.80825052844296,,31.790668953820877
2011-08-01,114.8499984741211,27007.04105495286,,,131.417743002657,-1.618981860744917,46.90457665106664,17.21957829653409,53.332879646514655,,31.790668953820877
2011-09-01,102.76000213623047,25454.628976360866,,,131.417743002657,-10.526771004367784,24.84510409938847,-5.748175357060436,35.464038426044795,,31.790668953820877
