isin,symbol,date,monthly_volume,oil_price_usd_bbl,oil_return_1m_pct,oil_return_12m_pct,gold_price_inr_10g,gold_return_1m_pct,gold_return_12m_pct,cpi_index,cpi_inflation_yoy_pct,stock_return_1m,momentum_3m,momentum_6m,momentum_12m,volatility_3m,volatility_6m,volume_change_1m,target_return_1m
INE002A01018,RELIANCE,2010-02-01,324665427.0,77.58999633789062,8.57822184712278,,16563.372599148497,3.1922717261665623,,,,-4.912474310412918,-4.912474310412918,-4.912474310412918,-4.912474310412918,0.0,0.0,0.0,-5.060238281689077
INE002A01018,RELIANCE,2010-03-01,419629083.0,82.69999694824219,6.585901342356593,,16035.45534758978,-3.187256993698595,,,,-5.060238281689077,-9.972712592101995,-9.972712592101995,-9.972712592101995,0.10448490610442651,0.10448490610442651,29.249697720355062,9.441619287868065
INE002A01018,RELIANCE,2010-04-01,376994477.0,87.44000244140625,5.73156670867907,,16788.93464401309,4.698833179916928,,,,9.441619287868065,-0.5310933042339308,-0.5310933042339308,-0.5310933042339308,8.330323224892899,8.330323224892899,-10.160069386801773,-4.823746509050153
INE002A01018,RELIANCE,2010-05-01,475654929.0,74.0199966430664,-15.347673174337595,,18067.16585718049,7.613533796340177,,,,-4.823746509050153,-0.4423655028711657,-5.354839813284084,-5.354839813284084,8.305223884661707,7.187548101220407,26.170264558013677,1.6861638429040315
INE002A01018,RELIANCE,2010-06-01,405492389.0,75.01000213623047,1.3374838395872723,,18580.302861988144,2.840163248978622,,,,1.6861638429040315,6.304036621721943,-3.668675970380052,-3.668675970380052,7.141739788842149,6.369898592374575,-14.750722787106874,3.9010805498468137
INE002A01018,RELIANCE,2010-07-01,340685619.0,78.18000030517578,4.226100624804774,,17613.339759361093,-5.20423757249554,,,,3.9010805498468137,0.7634978837006923,0.23240457946676152,0.23240457946676152,4.535184597801857,6.003393981051687,-15.982240791207547,-6.273062457944034
INE002A01018,RELIANCE,2010-08-01,466386817.0,80.24499893188477,2.6413387294042634,,18202.01541644363,3.3422148503645888,,,,-6.273062457944034,-0.6858180651931889,-1.1281835680643546,-6.040657878477273,5.350519060019399,6.248511409346323,36.89653774320307,-8.951772634554512
INE002A01018,RELIANCE,2010-09-01,481343212.0,82.30999755859375,2.5733673801427104,,18790.691073526174,3.2341234946473785,,,,-8.951772634554512,-11.323754542651733,-5.019717920929789,-14.992430513031785,6.780910818037048,7.01085207883513,3.2068648715686043,7.237449598214529
INE002A01018,RELIANCE,2010-10-01,480760370.0,83.1500015258789,1.0205369848142576,,19381.23471476445,3.1427457294015197,,,,7.237449598214529,-7.987385494284017,-7.223887610583325,-7.7549809148172555,8.677560532122165,6.3952936690259214,-0.1210865730459254,13.004024606300813
INE002A01018,RELIANCE,2010-11-01,445557849.0,85.91999816894531,3.3313248252969663,,20394.18273115013,5.2264369700554925,,,,13.004024606300813,11.28970156996083,10.60388350476764,5.249043691483558,11.382745248162669,8.249752306759211,-7.322259320168179,-12.132019075977695
