isin,symbol,monthly_open,monthly_high,monthly_low,monthly_close,monthly_adj_close,monthly_volume,trading_days,date,stock_return_1m,oil_price_usd_bbl,gold_price_inr_10g,cpi_index,cpi_inflation_yoy_pct,oil_return_1m_pct,oil_return_12m_pct,gold_return_1m_pct,gold_return_12m_pct,inflation_change_1m,house_price_index,hpi_growth_12m_pct,target_return_1m
INE002A01018,RELIANCE,249.4071044921875,262.8478088378906,232.7205352783203,239.1437225341797,211.65933227539062,642993345.0,19,2010-01-01,-4.066737813352194,71.45999908447266,16050.981650158312,,,,,,,,,,-6.428039292046472
INE002A01018,RELIANCE,237.15504455566406,241.46383666992188,219.2455596923828,223.77149963378906,198.0537872314453,324665427.0,19,2010-02-01,-6.428039292046472,77.58999633789062,16563.372599148497,,,8.57822184712278,,3.1922717261665623,,,,,9.734928969210511
INE002A01018,RELIANCE,225.15443420410156,253.95591735839844,223.87435913085938,245.55548095703125,217.3341827392578,419629083.0,21,2010-03-01,9.734928969210511,82.69999694824219,16035.45534758978,,,6.585901342356593,,-3.187256993698595,,,,,-3.7840268203529592
INE002A01018,RELIANCE,246.41265869140625,262.8020935058594,231.326171875,236.26358032226562,209.11019897460938,376994477.0,20,2010-04-01,-3.7840268203529592,87.44000244140625,16788.93464401309,,,5.73156670867907,,4.698833179916928,,,,,1.9092987676957884
INE002A01018,RELIANCE,234.52633666992188,249.93284606933594,223.09718322753906,239.00657653808594,213.1027374267578,475654929.0,21,2010-05-01,1.9092987676957884,74.0199966430664,18067.16585718049,,,-15.347673174337595,,7.613533796340177,,,,,4.23202197982071
INE002A01018,RELIANCE,238.4808349609375,250.05856323242188,227.46311950683594,249.1213836669922,222.1212921142578,405492389.0,22,2010-06-01,4.23202197982071,75.01000213623047,18580.302861988144,,,1.3374838395872723,,2.840163248978622,,,,,-7.358812541728376
INE002A01018,RELIANCE,247.78416442871094,250.17286682128906,230.2404022216797,230.78900146484375,205.7758026123047,340685619.0,22,2010-07-01,-7.358812541728376,78.18000030517578,17613.339759361093,,,4.226100624804774,,-5.20423757249554,,,,,-8.958548236531328
INE002A01018,RELIANCE,232.24050903320312,235.66925048828125,209.1536102294922,210.11366271972656,187.34127807617188,466386817.0,22,2010-08-01,-8.958548236531328,80.24499893188477,18202.01541644363,,,2.6413387294042634,,3.3422148503645888,,,,,7.403198899328678
INE002A01018,RELIANCE,211.45086669921875,239.66946411132812,210.5251007080078,225.6687469482422,201.2105255126953,481343212.0,21,2010-09-01,7.403198899328678,82.30999755859375,18790.691073526174,,,2.5733673801427104,,3.2341234946473785,,,,,11.04073375465713
INE002A01018,RELIANCE,226.7545166015625,253.72732543945312,226.29734802246094,250.5843048095703,223.42564392089844,480760370.0,21,2010-10-01,11.04073375465713,83.1500015258789,19381.23471476445,,,1.0205369848142576,,3.1427457294015193,,,,,-10.093486576641041
INE002A01018,RELIANCE,256.2417297363281,257.1332092285156,219.05125427246094,225.2915802001953,200.87420654296875,445557849.0,20,2010-11-01,-10.093486576641041,85.91999816894531,20394.18273115013,,,3.3313248252969663,,5.2264369700554925,,,,,7.4167844835941965
INE002A01018,RELIANCE,225.15443420410156,245.72691345214844,223.7257843017578,242.00100708007812,215.77261352539062,373997712.0,22,2010-12-01,7.4167844835941965,94.75,20473.43204332375,,,10.277004212328045,,0.3885878302569923,,,,,-13.16707156856075
INE002A01018,RELIANCE,243.4410858154297,249.47567749023438,206.18202209472656,210.1365203857422,187.36167907714844,447426553.0,20,2011-01-01,-13.16707156856075,101.01000213623048,19656.557593285463,,,6.606862412908154,41.35181000608026,-3.9899243483442537,22.46327372190091,,,,4.889585293838605
INE002A01018,RELIANCE,211.46229553222656,230.7318572998047,202.3189697265625,220.4113311767578,196.52288818359375,539510608.0,20,2011-02-01,4.889585293838605,111.8000030517578,20502.79704083521,,,10.682111362570822,44.09074407593563,4.305125368639384,23.783951113248712,,,,8.79958451235483
INE002A01018,RELIANCE,222.57144165039062,241.15525817871094,220.35418701171875,239.80661010742188,213.8160858154297,431843698.0,22,2011-03-01,8.79958451235483,117.36000061035156,20637.34912340932,,,4.973164049038314,41.91052592638105,0.656262081247383,28.698241964867123,,,,-6.229142508437557
INE002A01018,RELIANCE,239.79518127441406,243.6468048095703,221.72567749023438,224.8686981201172,200.49717712402344,281688030.0,18,2011-04-01,-6.229142508437557,125.88999938964844,22161.76643405544,,,7.268233414225533,43.9730053461602,7.38669148605402,32.00221993810843,,,,-2.3495821810755935
INE002A01018,RELIANCE,224.90298461914062,225.56588745117188,205.3477020263672,217.576904296875,195.7863311767578,314277568.0,22,2011-05-01,-2.3495821810755935,119.18500137329102,21890.438061389385,,,-5.326076772472166,61.017301781322494,-1.2243084208716892,21.16143857000903,,,,-5.604847864006168
INE002A01018,RELIANCE,217.61119079589844,221.03993225097656,189.28973388671875,205.38198852539062,184.81280517578125,372755993.0,22,2011-06-01,-5.604847864006168,112.4800033569336,21619.10968872333,,,-5.625706203884806,49.95333975947829,-1.2394835220069345,16.354990816387716,,,,-7.851977213799466
INE002A01018,RELIANCE,207.32493591308594,207.32493591308594,188.1582489013672,189.2554473876953,170.3013458251953,369661930.0,21,2011-07-01,-7.851977213799466,116.73999786376952,23039.701598850912,,,3.7873349748378304,49.32207394228028,6.571000982841468,30.80825052844296,,,,-5.47740503002051
INE002A01018,RELIANCE,191.55270385742188,191.7584228515625,162.751220703125,178.88919067382812,160.97325134277344,387286020.0,21,2011-08-01,-5.47740503002051,114.8499984741211,27007.04105495286,,,-1.6189818607449058,43.12418219559135,17.21957829653409,48.37390496084737,,,,3.290313144370338
INE002A01018,RELIANCE,182.11221313476562,196.3529510498047,170.87734985351562,184.77520751953125,166.269775390625,548239191.0,21,2011-09-01,3.290313144370338,102.76000213623048,25454.628976360866,,,-10.526771004367774,24.84510409938847,-5.748175357060436,35.464038426044795,,,,8.560663014414693
INE002A01018,RELIANCE,180.85501098632812,206.63919067382812,174.12322998046875,200.59317016601562,180.50357055664062,316821935.0,18,2011-10-01,8.560663014414693,109.55999755859376,26956.59810744758,,,6.617356248541562,31.76187077338204,5.900573653937591,39.08607219390561,,,,-11.315601139593435
INE002A01018,RELIANCE,198.98165893554688,206.86778259277344,171.6659698486328,177.8948516845703,160.07850646972656,349755829.0,20,2011-11-01,-11.315601139593435,110.81999969482422,29127.511007684607,,,1.1500567399671535,28.980449320911063,8.05336375006922,42.82264404346623,,,,-10.960484343343113
INE002A01018,RELIANCE,182.63795471191406,193.0613555908203,157.49380493164062,158.39671325683594,142.5331268310547,422743436.0,21,2011-12-01,-10.960484343343113,107.37999725341795,26681.069489919733,,,-3.104135039595135,13.329812404662755,-8.39907507757679,30.320453519761735,,,,17.916153118102017
INE002A01018,RELIANCE,159.27676391601562,189.2440185546875,157.07093811035156,186.7753143310547,168.069580078125,478336554.0,21,2012-01-01,17.916153118102017,115.02000045776367,26827.99408819982,,,7.114922145430147,13.869911914899413,0.5506698235451024,36.48368469850523,,,,0.4466976945525447
INE002A01018,RELIANCE,187.186767578125,197.65586853027344,174.94613647460938,187.60964965820312,168.82034301757812,448521265.0,20,2012-02-01,0.4466976945525447,122.66000366210938,26974.918686479905,,,6.64232583371549,9.713774878274318,0.5476540579107514,31.5670180646779,,,,-8.547046632218013
INE002A01018,RELIANCE,185.56382751464844,189.7240447998047,164.1227264404297,171.5745391845703,154.3911895751953,420016398.0,21,2012-03-01,-8.547046632218013,122.87999725341795,27300.47045246468,,,0.17935234366581732,4.70347359778347,1.2068683867727303,32.28671128840506,,,,-0.7327601670695572
INE002A01018,RELIANCE,171.28880310058594,174.3861083984375,165.42564392089844,170.31732177734375,153.25987243652344,267549172.0,19,2012-04-01,-0.7327601670695572,112.375,27774.35919372851,,,-8.548988841327265,-10.735562360134331,1.7358262821476345,25.32556588561612,,,,-4.050183397336471
INE002A01018,RELIANCE,170.9573516845703,171.7574005126953,153.847900390625,161.2882843017578,147.0525665283203,331688474.0,22,2012-05-01,-4.050183397336471,101.87000274658205,28248.247934992334,,,-9.348162183241781,-14.527833558920623,1.7062094500845504,29.043776354649253,,,,4.570594248123183
INE002A01018,RELIANCE,161.6883087158203,169.82586669921875,153.92791748046875,168.66009521484375,153.77374267578125,292146663.0,21,2012-06-01,4.570594248123183,97.8000030517578,28613.86154023573,,,-3.995287705006767,-13.051208985646667,1.2942877239140005,32.354486157035936,,,,0.7793134873020913
INE002A01018,RELIANCE,168.1229248046875,170.54591369628906,161.52830505371094,169.97445678710938,154.9721221923828,216965549.0,22,2012-07-01,0.7793134873020913,106.18500137329102,29371.31171832095,,,8.573617648146392,-9.041456813110205,2.6471442067339312,27.481302621496727,,,,3.066140632770775
INE002A01018,RELIANCE,169.2086944580078,188.55825805664062,166.99143981933594,175.18614196777344,159.72378540039062,311241823.0,21,2012-08-01,3.066140632770775,114.56999969482422,30128.76189640617,,,7.896593881518088,-0.2437951963577656,2.578877597804885,11.558914710802103,,,,9.23799764952198
INE002A01018,RELIANCE,175.5518798828125,201.51893615722656,173.73464965820312,191.36984252929688,174.47906494140625,329959386.0,19,2012-09-01,9.23799764952198,112.38999938964844,30092.806458559666,,,-1.9027671388518463,9.371347852495493,-0.11933924789253592,18.221351749051884,,,,-3.7864265312654632
INE002A01018,RELIANCE,192.00987243652344,197.0386962890625,155.97373962402344,184.12374877929688,167.87254333496094,288296487.0,20,2012-10-01,-3.7864265312654632,108.6999969482422,29795.01806514558,,,-3.283212440115113,-0.7849585884589172,-0.9895667053326007,10.529592593190774,,,,-1.4649379027504406
INE002A01018,RELIANCE,181.7236328125,186.27243041992188,173.9746551513672,181.4264678955078,165.41331481933594,236080406.0,19,2012-11-01,-1.4649379027504406,111.2300033569336,30164.582012108654,,,2.327512860829306,0.369972625192605,1.2403548343385307,3.560451849629165,,,,5.776739451873514
INE002A01018,RELIANCE,181.7236328125,194.24998474121094,180.5235595703125,191.90701293945312,174.96881103515625,213800605.0,20,2012-12-01,5.776739451873514,111.11000061035156,29482.338872643617,,,-0.10788702954268592,3.473648214136893,-2.2617357641195657,10.499089565289799,,,,5.61015687435924
INE002A01018,RELIANCE,192.92420959472656,218.29693603515625,191.15267944335938,202.67327880859375,184.7848358154297,361427720.0,23,2013-01-01,5.61015687435924,115.5500030517578,28458.22137473125,104.6,,3.9960421357360554,0.4607916813465396,-3.4736643599963424,6.076590300310514,,,,-8.210678412053984
INE002A01018,RELIANCE,203.74761962890625,205.9534454345703,184.18089294433594,186.0324249267578,169.6127471923828,239359451.0,20,2013-02-01,-8.210678412053984,111.37999725341795,27319.057355825706,105.3,,-3.6088322701921416,-9.196156914982955,-4.002934701734507,1.2757727774663774,,,,-5.031657358695208
INE002A01018,RELIANCE,186.5238800048828,198.73020935058594,174.72897338867188,176.67193603515625,161.0784149169922,264308909.0,19,2013-03-01,-5.031657358695208,110.0199966430664,27830.50827797336,105.5,,-1.2210456490290622,-10.465495522294088,1.8721397136295836,1.9414970391502084,,,,1.9795887532107148
INE002A01018,RELIANCE,178.52346801757812,188.9468536376953,174.6718292236328,180.1692657470703,164.26710510253906,300889709.0,20,2013-04-01,1.9795887532107148,102.37000274658205,25667.374875478858,106.1,,-6.95327588611272,-8.90322336232966,-7.772525678974141,-7.586077156823878,,,,3.530307116060327
INE002A01018,RELIANCE,179.98638916015625,195.43861389160156,178.1120147705078,184.30661010742188,170.0662384033203,311030277.0,22,2013-05-01,3.530307116060327,100.38999938964844,25242.19386581565,106.9,,-1.934163625876939,-1.4528352969768288,-1.6565036811357015,-10.641559349431207,,,,6.982528582711822
INE002A01018,RELIANCE,183.71229553222656,199.55311584472656,177.2205352783203,197.1758575439453,181.941162109375,340959426.0,20,2013-06-01,6.982528582711822,102.16000366210938,23421.151072622277,109.3,,1.7631280836958085,4.4580781945826375,-7.214280988704114,-18.147534754481363,,,,1.0955327945294746
INE002A01018,RELIANCE,197.0386962890625,212.10232543945312,191.78128051757812,199.33596801757812,183.93438720703125,332774071.0,23,2013-07-01,1.0955327945294746,107.6999969482422,25657.716478279504,111.0,,5.422859326098073,1.4267510056578114,9.54934024686609,-12.64361386258761,,,,-2.0870353244196838
INE002A01018,RELIANCE,200.04457092285156,201.80465698242188,174.61468505859375,195.17575073242188,180.09561157226562,318889964.0,20,2013-08-01,-2.0870353244196838,114.01000213623048,29488.97773038902,112.4,,5.858872206858745,-0.4887820198004489,14.932198878075775,-2.123499691812647,,,,-3.6833377588571303
INE002A01018,RELIANCE,195.02716064453125,205.9534454345703,187.23248291015625,187.98680114746094,173.4620819091797,302652741.0,20,2013-09-01,-3.6833377588571303,111.42499923706055,27791.76821291666,113.7,,-2.2673474701641716,-0.8586174551370007,-5.755403028852191,-7.646472750262523,,,,11.223265002118655
INE002A01018,RELIANCE,188.87828063964844,209.83935546875,186.91246032714844,209.0850372314453,192.93019104003906,272817639.0,21,2013-10-01,11.223265002118655,108.83999633789062,26094.558695444302,114.8,,-2.3199487699077648,0.1287942903209771,-6.1068784989490315,-12.419725209128508,,,,-6.723525299566047
INE002A01018,RELIANCE,208.03355407714844,211.7937469482422,190.92410278320312,195.02716064453125,179.95848083496094,198952251.0,19,2013-11-01,-6.723525299566047,109.69000244140624,25086.401768274987,116.3,,0.7809685153578938,-1.3845193464442684,-3.8634756729774566,-16.83491003387744,,,,4.922637472921054
INE002A01018,RELIANCE,194.9814453125,207.7821044921875,191.2669677734375,204.62765502929688,188.8171844482422,214009313.0,21,2013-12-01,4.922637472921054,108.04500198364258,24964.743285753815,114.5,,-1.4996813028993916,-2.7585263341483923,-0.4849578813452049,-15.323056988133443,,,,-7.154807580180345
INE002A01018,RELIANCE,205.1419677734375,205.32484436035156,187.9410858154297,189.98690795898438,175.30767822265625,283486672.0,23,2014-01-01,-7.154807580180345,106.4000015258789,24843.084803232647,113.6,8.6,-1.522514163137978,-7.918651046491421,-0.4873211838336555,-12.703311721050037,,,,-3.7538371606003818
INE002A01018,RELIANCE,188.8554229736328,189.67831420898438,181.28932189941406,182.85511779785156,168.72691345214844,183458907.0,19,2014-02-01,-3.7538371606003818,109.06999969482422,26348.57532037997,113.6,7.88,2.509396739337366,-2.073978825244449,6.059998301625669,-3.5523994214199495,-0.7199999999999998,,,16.35101445718259
